describle,movie_name,movie_num,star,value
一个单凭体香达到高潮的男人。,香水,198,8.5,364238人评价
警恶惩奸，维护世界和平这个任务就交给你了，好吗？,功夫,199,8.4,471716人评价
坚硬的信仰。,可可西里,200,8.7,172071人评价
谁说王家卫镜头很晃？,谍影重重2,201,8.6,220171人评价
当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,朗读者,202,8.5,334597人评价
弱者送给弱者的一刀。,牯岭街少年杀人事件,203,8.8,150373人评价
世界离独裁只有五天。,浪潮,204,8.7,174244人评价
哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,谍影重重,205,8.6,262380人评价
做一颗让别人需要你的棋子。,战争之王,206,8.6,226127人评价
中国版《两杆大烟枪》。,疯狂的石头,207,8.4,455353人评价
天使保护事件始末。,地球上的星星,208,8.9,121694人评价
黑小鸭速效美白记。,初恋这件小事,209,8.3,637948人评价
人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,青蛇,210,8.5,305715人评价
少见的超越首部的续集，动作片中的经典。,终结者2：审判日,211,8.6,200115人评价
所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,爱在午夜降临前,212,8.8,168379人评价
邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,源代码,213,8.4,522727人评价
嬉笑怒骂，调风动月。,新龙门客栈,214,8.5,259967人评价
日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,步履不停,215,8.8,140843人评价
世界不完美，爱会有奇迹。,奇迹男孩,216,8.6,326053人评价
宝莱坞的萝莉与大叔。,小萝莉的猴神大叔,217,8.5,274195人评价
昆汀同学越来越变态了，比北野武还杜琪峰。,无耻混蛋,218,8.5,295786人评价
只有有信仰的人才能说出事实真相。,一次别离,219,8.7,168983人评价
诺兰的牛逼来源于内心散发出的恐惧。,追随,220,8.9,108984人评价
爱我就给我看你的播放列表。,再次出发之纽约遇见你,221,8.5,246954人评价
揭露人性的丧尸题材力作。,釜山行,222,8.4,569499人评价
每个美丽事物背后都是滴血的现实。,血钻,223,8.6,197888人评价
小成本大魅力。,彗星来的那一夜,224,8.5,278559人评价
要做就做得狠一点，这样才能活下去。,新世界,225,8.7,152050人评价
永远的小人物，伟大的卓别林。,城市之光,226,9.3,65588人评价
东京那么大，如果有一天走失了，恐怕一辈子不能再相见。,东京物语,227,9.2,73396人评价
现代科幻电影的开山之作，最伟大导演的最伟大影片。,2001太空漫游,228,8.7,150689人评价
天使与魔鬼的冲撞。,撞车,229,8.6,220108人评价
天使暂时离开。,绿里奇迹,230,8.7,146289人评价
